,WELLNAME,X,Y,Z_top,Z_bottom,YEAR,TYPE,KB,TD
42,Inj-43,36874.99877226564,72874.99752441447,7825.184204,7918.636352,2035,injector,0,10000
43,Inj-44,38124.99841504005,74124.99776246327,7737.46167,7831.962891,2035,injector,0,10000
44,Inj-45,46874.99770058888,67874.99776246327,7750.958618,7864.019165,2036,injector,0,10000
45,Inj-46,46874.99770058888,70374.99764359128,7638.9104,7750.594727,2036,injector,0,10000
46,Inj-47,45624.99865308885,71624.99788164007,7527.79187,7638.306152,2036,injector,0,10000
47,Inj-48,48124.99912949123,71624.99788164007,7701.294067,7809.13623,2036,injector,0,10000
48,Inj-49,46874.99770058888,72874.99752441447,7564.625488,7672.090698,2036,injector,0,10000
49,Inj-50,49374.99817699126,72874.99752441447,7783.921631,7887.552978,2036,injector,0,10000
50,Inj-51,43124.99817699126,71624.99788164007,7489.878906,7598.829102,2036,injector,0,10000
51,Inj-52,44374.998415040056,72874.99752441447,7470.480835,7579.042725,2036,injector,0,10000
52,Inj-53,41874.99853421685,70374.99764359128,7546.70874,7654.444458,2036,injector,0,10000
53,Inj-54,40624.99889144244,71624.99788164007,7555.065674,7659.035644,2036,injector,0,10000
54,Inj-55,40624.99889144244,74124.99776246327,7567.316895,7667.9198,2037,injector,0,10000
55,Inj-56,41874.99853421685,75374.99859609125,7544.777466,7645.695801,2037,injector,0,10000
56,Inj-57,40624.99889144244,76624.99764359128,7623.586914,7718.880981,2037,injector,0,10000
57,Inj-58,38124.99841504005,76624.99764359128,7807.816284,7897.221313,2037,injector,0,10000
58,Inj-59,39374.99865308885,77874.9966910913,7745.392212,7834.712158,2037,injector,0,10000
59,Inj-60,41874.99853421685,77874.9966910913,7600.468018,7695.356689,2037,injector,0,10000
60,Inj-61,40624.99889144244,79124.99811968885,7714.547241,7803.620972,2037,injector,0,10000
61,Inj-62,43124.99817699126,79124.99811968885,7584.753906,7678.529419,2037,injector,0,10000
62,Inj-63,41874.99853421685,80374.99716718889,7693.301636,7781.789795,2037,injector,0,10000
63,Inj-64,44374.998415040056,80374.99716718889,7576.080078,7668.035522,2037,injector,0,10000
64,Inj-65,41874.99853421685,72874.99752441447,7504.570435,7609.875732,2038,injector,0,10000
65,Inj-66,43124.99817699126,74124.99776246327,7491.89209,7597.357666,2038,injector,0,10000
66,Inj-67,45624.99865308885,74124.99776246327,7476.882568,7583.410889,2038,injector,0,10000
67,Inj-68,46874.99770058888,75374.99859609125,7512.042725,7615.067627,2038,injector,0,10000
68,Inj-69,43124.99817699126,76624.99764359128,7524.782959,7625.033081,2038,injector,0,10000
69,Inj-70,45624.99865308885,76624.99764359128,7479.364014,7581.061035,2038,injector,0,10000
70,Inj-71,48124.99912949123,74124.99776246327,7627.103027,7730.433472,2038,injector,0,10000
71,Inj-72,48124.99912949123,76624.99764359128,7566.917236,7665.236206,2038,injector,0,10000
72,Inj-73,46874.99770058888,77874.9966910913,7506.986694,7604.975342,2038,injector,0,10000
73,Inj-74,45624.99865308885,79124.99811968885,7518.097534,7613.882568,2038,injector,0,10000
74,Inj-75,40624.99889144244,81624.9974052377,7832.27771,7915.684692,2039,injector,0,10000
75,Inj-76,43124.99817699126,81624.9974052377,7667.293579,7754.74292,2039,injector,0,10000
76,Inj-77,45624.99865308885,81624.9974052377,7585.40625,7675.03418,2039,injector,0,10000
77,Inj-78,48124.99912949123,81624.9974052377,7572.95459,7662.171997,2039,injector,0,10000
78,Inj-79,46874.99770058888,80374.99716718889,7537.787598,7630.285889,2039,injector,0,10000
79,Inj-80,49374.99817699126,80374.99716718889,7601.959351,7691.835571,2039,injector,0,10000
80,Inj-81,48124.99912949123,79124.99811968885,7548.360718,7642.107422,2039,injector,0,10000
81,Inj-82,50624.998415040056,79124.99811968885,7684.281372,7773.00293,2039,injector,0,10000
82,Inj-83,50624.998415040056,76624.99764359128,7736.985107,7828.366577,2039,injector,0,10000
83,Inj-84,50624.998415040056,74124.99776246327,7842.859497,7940.440674,2039,injector,0,10000
84,Inj-85,41874.99853421685,82874.99764359127,7793.24585,7876.294311,2040,injector,0,10000
85,Inj-86,46874.99770058888,82874.99764359127,7607.561401,7694.690552,2040,injector,0,10000
86,Inj-87,51874.99865308885,82874.99764359127,7723.725342,7810.398071,2040,injector,0,10000
87,Inj-88,50624.998415040056,81624.9974052377,7663.369507,7750.645874,2040,injector,0,10000
88,Inj-89,53124.99770058888,81624.9974052377,7764.309448,7851.186035,2040,injector,0,10000
